18,Petyr Baelish,1,co_1
14,Joffrey Baratheon,3,co_1
1,Robert Baratheon,4,co_1
21,Stannis Baratheon,4,co_1
32,Tommen Baratheon,1,co_1
29,Ramsay Bolton,4,co_1
34,Roose Bolton,2,co_1
23,Ser Bronn,3,co_1
15,Gregor Clegane,4,co_1
16,Sandor Clegane,0,co_1
28,Tormund Giantsbane,2,co_1
33,Jaqen H'ghar,4,co_1
4,Cersei Lannister,4,co_1
2,Jaime Lannister,3,co_1
26,Tywin Lannister,4,co_1
27,Talisa Maegyr,4,co_1
22,Jeor Mormont,2,co_1
6,Jorah Mormont,4,co_1
19,Davos Seaworth,3,co_1
8,Jon Snow,3,co_1
10,Arya Stark,4,co_1
13,Brandon Stark,4,co_1
3,Catelyn Stark,4,co_1
0,Eddard Stark,4,co_1
11,Robb Stark,4,co_1
9,Sansa Stark,3,co_1
7,Viserys Targaryen,4,co_1
25,Margaery Tyrell,2,co_1
24,Ser Varys,4,co_1
35,Grey Worm,3,co_1
