18,Petyr Baelish,3,co_2
14,Joffrey Baratheon,2,co_2
1,Robert Baratheon,0,co_2
21,Stannis Baratheon,3,co_2
32,Tommen Baratheon,4,co_2
29,Ramsay Bolton,0,co_2
34,Roose Bolton,3,co_2
15,Gregor Clegane,2,co_2
16,Sandor Clegane,4,co_2
28,Tormund Giantsbane,4,co_2
12,Theon Greyjoy,3,co_2
33,Jaqen H'ghar,3,co_2
4,Cersei Lannister,3,co_2
17,Tyrion Lannister,4,co_2
26,Tywin Lannister,2,co_2
22,Jeor Mormont,3,co_2
6,Jorah Mormont,2,co_2
30,Daario Naharis,3,co_2
31,Ellaria Sand,4,co_2
19,Davos Seaworth,2,co_2
8,Jon Snow,0,co_2
10,Arya Stark,3,co_2
13,Brandon Stark,3,co_2
11,Robb Stark,2,co_2
9,Sansa Stark,0,co_2
7,Viserys Targaryen,0,co_2
20,Samwell Tarly,4,co_2
25,Margaery Tyrell,0,co_2
35,Grey Worm,1,co_2
